pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
B1fyfEwio-,4-20200812112712245,4,20200812T112712,142868,4-20200812112712244,20200812T112712,20220812T112712,2,Sfilab13,54,4-20200812112712245
B1fyfEwio-,4-20200812112155059,4,20200812T112155,142867,4-20200812112155058,20200812T112155,20220812T112155,2,Sfilab13,54,4-20200812112155059
B1fyfEwio-,4-20200812111719227,4,20200812T111719,142866,4-20200812111719226,20200812T111719,20220812T111719,2,Sfilab13,54,4-20200812111719227
B1fyfEwio-,4-20200812111203720,4,20200812T111203,142865,4-20200812111203720,20200812T111203,20220812T111203,2,Sfilab13,54,4-20200812111203720
B1fyfEwio-,4-20200812110640537,4,20200812T110640,142864,4-20200812110640536,20200812T110640,20220812T110640,2,Sfilab13,54,4-20200812110640537
B1fyfEwio-,4-20200812110207378,4,20200812T110207,142863,4-20200812110207377,20200812T110207,20220812T110207,2,Sfilab13,53,4-20200812110207378
B1fyfEwio-,4-20200812105644190,4,20200812T105644,142862,4-20200812105644189,20200812T105644,20220812T105644,2,Sfilab13,53,4-20200812105644190
B1fyfEwio-,4-20200812105128342,4,20200812T105128,142861,4-20200812105128341,20200812T105128,20220812T105128,2,Sfilab13,53,4-20200812105128342
B1fyfEwio-,4-20200812104647846,4,20200812T104647,142860,4-20200812104647846,20200812T104647,20220812T104647,2,Sfilab13,53,4-20200812104647846
B1fyfEwio-,4-20200812104119981,4,20200812T104119,142859,4-20200812104119981,20200812T104119,20220812T104119,2,Sfilab13,53,4-20200812104119981
B1fyfEwio-,4-20200812103636495,4,20200812T103636,142858,4-20200812103636494,20200812T103636,20220812T103636,2,Sfilab13,53,4-20200812103636495
B1fyfEwio-,4-20200812103113632,4,20200812T103113,142857,4-20200812103113631,20200812T103113,20220812T103113,2,Sfilab13,53,4-20200812103113632
B1fyfEwio-,4-20200812102632144,4,20200812T102632,142856,4-20200812102632143,20200812T102632,20220812T102632,2,Sfilab13,53,4-20200812102632144
B1fyfEwio-,4-20200812102111961,4,20200812T102111,142855,4-20200812102111960,20200812T102111,20220812T102111,2,Sfilab13,53,4-20200812102111961
B1fyfEwio-,4-20200812101552898,4,20200812T101552,142854,4-20200812101552897,20200812T101552,20220812T101552,2,Sfilab13,54,4-20200812101552898
B1fyfEwio-,4-20200812101120618,4,20200812T101120,142853,4-20200812101120618,20200812T101120,20220812T101120,2,Sfilab13,54,4-20200812101120618
B1fyfEwio-,4-20200812100557755,4,20200812T100557,142852,4-20200812100557755,20200812T100557,20220812T100557,2,Sfilab13,55,4-20200812100557755
B1fyfEwio-,4-20200812100115266,4,20200812T100115,142851,4-20200812100115266,20200812T100115,20220812T100115,2,Sfilab13,56,4-20200812100115266
B1fyfEwio-,4-20200812095549404,4,20200812T095549,142850,4-20200812095549403,20200812T095549,20220812T095549,2,Sfilab13,55,4-20200812095549404
B1fyfEwio-,4-20200812095112918,4,20200812T095112,142849,4-20200812095112918,20200812T095112,20220812T095112,2,Sfilab13,55,4-20200812095112918
B1fyfEwio-,4-20200812094550733,4,20200812T094550,142848,4-20200812094550733,20200812T094550,20220812T094550,2,Sfilab13,55,4-20200812094550733
B1fyfEwio-,4-20200812094033549,4,20200812T094033,142847,4-20200812094033549,20200812T094033,20220812T094033,2,Sfilab13,56,4-20200812094033549
B1fyfEwio-,4-20200812093559398,4,20200812T093559,142846,4-20200812093559398,20200812T093559,20220812T093559,2,Sfilab13,53,4-20200812093559398
B1fyfEwio-,4-20200812093040803,4,20200812T093040,142845,4-20200812093040803,20200812T093040,20220812T093040,2,Sfilab13,54,4-20200812093040803
B1fyfEwio-,4-20200812092525043,4,20200812T092525,142844,4-20200812092525042,20200812T092525,20220812T092525,2,Sfilab13,55,4-20200812092525043
B1fyfEwio-,4-20200812092053281,4,20200812T092053,142843,4-20200812092053281,20200812T092053,20220812T092053,2,Sfilab13,52,4-20200812092053281
