pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
H1MGbVvjjb,4-20200812110321569,4,20200812T110321,74629,4-20200812110321569,20200812T110321,20220812T110321,5,Sfilab05,19.70,4-20200812110321569
H1MGbVvjjb,4-20200812105816602,4,20200812T105816,74628,4-20200812105816601,20200812T105816,20220812T105816,5,Sfilab05,19.60,4-20200812105816602
H1MGbVvjjb,4-20200812105316638,4,20200812T105316,74627,4-20200812105316638,20200812T105316,20220812T105316,5,Sfilab05,19.60,4-20200812105316638
H1MGbVvjjb,4-20200812104809670,4,20200812T104809,74626,4-20200812104809669,20200812T104809,20220812T104809,5,Sfilab05,19.60,4-20200812104809670
H1MGbVvjjb,4-20200812104306700,4,20200812T104306,74625,4-20200812104306700,20200812T104306,20220812T104306,5,Sfilab05,19.60,4-20200812104306700
H1MGbVvjjb,4-20200812103805733,4,20200812T103805,74624,4-20200812103805733,20200812T103805,20220812T103805,5,Sfilab05,19.60,4-20200812103805733
H1MGbVvjjb,4-20200812103300767,4,20200812T103300,74623,4-20200812103300766,20200812T103300,20220812T103300,5,Sfilab05,19.60,4-20200812103300767
H1MGbVvjjb,4-20200812102756798,4,20200812T102756,74622,4-20200812102756798,20200812T102756,20220812T102756,5,Sfilab05,19.70,4-20200812102756798
H1MGbVvjjb,4-20200812102254830,4,20200812T102254,74621,4-20200812102254830,20200812T102254,20220812T102254,5,Sfilab05,19.70,4-20200812102254830
H1MGbVvjjb,4-20200812101749874,4,20200812T101749,74620,4-20200812101749873,20200812T101749,20220812T101749,5,Sfilab05,19.70,4-20200812101749874
H1MGbVvjjb,4-20200812101248445,4,20200812T101248,74619,4-20200812101248445,20200812T101248,20220812T101248,5,Sfilab05,19.80,4-20200812101248445
H1MGbVvjjb,4-20200812100744764,4,20200812T100744,74618,4-20200812100744764,20200812T100744,20220812T100744,5,Sfilab05,19.80,4-20200812100744764
H1MGbVvjjb,4-20200812100233962,4,20200812T100233,74617,4-20200812100233962,20200812T100233,20220812T100233,5,Sfilab05,19.80,4-20200812100233962
H1MGbVvjjb,4-20200812095736693,4,20200812T095736,74616,4-20200812095736692,20200812T095736,20220812T095736,5,Sfilab05,19.80,4-20200812095736693
H1MGbVvjjb,4-20200812095230026,4,20200812T095230,74615,4-20200812095230026,20200812T095230,20220812T095230,5,Sfilab05,19.80,4-20200812095230026
H1MGbVvjjb,4-20200812094727060,4,20200812T094727,74614,4-20200812094727059,20200812T094727,20220812T094727,5,Sfilab05,19.80,4-20200812094727060
H1MGbVvjjb,4-20200812094219094,4,20200812T094219,74613,4-20200812094219093,20200812T094219,20220812T094219,5,Sfilab05,19.90,4-20200812094219094
H1MGbVvjjb,4-20200812093715127,4,20200812T093715,74612,4-20200812093715127,20200812T093715,20220812T093715,5,Sfilab05,19.90,4-20200812093715127
